evaporation_from_vegetation_transpiration_sum,soil_temperature_level_1,surface_net_solar_radiation_sum,temperature_2m,total_precipitation_sum,ndvi
0,298.8470548,1.65E+07,298.2082844,1.72E-06,0.299404233
0,298.5322552,1.64E+07,297.8389193,8.52E-07,0.29938133
0,298.1048711,1.64E+07,297.9392719,0,0.299358427
0,298.5818577,1.59E+07,298.4202951,1.71E-06,0.299335524
9.31E-10,298.7848441,1.59E+07,298.1604296,8.64E-07,0.299312621
0,298.3570366,1.59E+07,297.2523575,4.26E-07,0.30221169
0,297.8749854,1.58E+07,297.4781704,4.66E-09,0.305110759
0,298.1477998,1.55E+07,297.7162209,8.52E-07,0.308009827
0,298.1626867,1.53E+07,297.7220446,0,0.310908896
0,298.4296945,1.54E+07,297.8276666,0,0.313807964
9.31E-10,298.2784869,1.53E+07,298.1662579,8.52E-07,0.316707033
0,297.8865916,1.55E+07,297.6666501,8.52E-07,0.319606102
0,297.4571387,1.54E+07,296.8078372,8.52E-07,0.32250517
0,297.4659646,1.51E+07,296.8049335,0,0.325404239
0,297.0593904,1.51E+07,296.6958726,0,0.328303307
0,296.8279088,1.51E+07,296.2570642,8.52E-07,0.317563772
0,296.5199871,1.49E+07,296.0045745,8.60E-07,0.306824237
0,296.9007645,1.46E+07,295.6456916,4.35E-07,0.296084702
0,297.1368917,1.44E+07,296.5923615,3.00E-06,0.294980879
0,297.1210677,1.41E+07,296.4086386,3.72E-06,0.293877057
0,297.2385674,1.43E+07,296.0642236,1.28E-06,0.292773234
0,297.1470044,1.38E+07,296.3122044,4.41E-07,0.291669411
0,297.1992613,1.40E+07,296.157891,0,0.290565589
0,297.1571948,1.38E+07,295.7702694,9.13E-08,0.289461766
0,296.8767738,1.40E+07,295.435873,0,0.288357943
0,296.5173696,1.40E+07,295.01448,8.58E-07,0.289313468
0,296.162866,1.40E+07,295.1711572,4.41E-07,0.290268993
